From;To;Type;Through;-1;-1;-1;-1;Comment
2;3;sea;4110;-1;-1;-1;-1;Brooklyn-Manhattan
2;4;sea;4110;-1;-1;-1;-1;Brooklyn-Palisades
1199;1200;sea;4096;-1;-1;-1;-1;Cap Diamant-StLaw-Chaudiere
187;1010;sea;4124;-1;-1;-1;-1;Straits of Mackinac
35;1283;sea;4095;-1;-1;-1;-1;Watertown-Cataraqui
35;1296;sea;4095;-1;-1;-1;-1;Watertown-Thousand Islands
36;1296;sea;4095;-1;-1;-1;-1;Raquette-Thousand Islands
36;1298;sea;4095;-1;-1;-1;-1;Raquette-United Counties
38;1299;sea;4196;-1;-1;-1;-1;Raquette-Thousand Islands
1213;1216;sea;4102;-1;-1;-1;-1;Prince Edward-mainland
1210;1220;sea;4096;-1;-1;-1;-1;amiante-portneuf
1211;1221;sea;4096;-1;-1;-1;-1;Mauricia-saint-francois
1211;1222;sea;4196;-1;-1;-1;-1;Lanaudiere-saint-francois
1212;1217;sea;4196;-1;-1;-1;-1;Montreal-Monteregie
1299;1217;sea;4196;-1;-1;-1;-1;Montreal-Vaudreuil-Soulanges
284;290;sea;4122;-1;-1;-1;-1;Sudbury-Manitoulin
1010;290;sea;4123;-1;-1;-1;-1;Sault Ste Marie-Manitoulin
1010;289;sea;4137;-1;-1;-1;-1;Sault Ste Marie-Bawating
3;4;major_river;4107;-1;-1;-1;-1;Manhattan-HudsonR-Palisades
3;5;major_river;4107;-1;-1;-1;-1;Manhattan-HudsonR-Newburgh
5;6;major_river;4107;-1;-1;-1;-1;Newburgh-HudsonR-Poughkeepsie
6;7;major_river;4107;-1;-1;-1;-1;Poughkeepsie-HudsonR-Woodstock
7;8;major_river;4107;-1;-1;-1;-1;Woodstock-HudsonR-Hudson
9;10;major_river;4185;-1;-1;-1;-1;Albany-HudsonR-Troy
12;41;major_river;4185;-1;-1;-1;-1;Bennington-HudsonR-Saratoga
10;12;major_river;4108;-1;-1;-1;-1;Albany-MohawkR-Saratoga
13;20;major_river;4108;-1;-1;-1;-1;Johnstown-MohawkR-Schoharie
13;21;major_river;4108;-1;-1;-1;-1;Johnstown-MohawkR-Cortland
13;14;major_river;4108;-1;-1;-1;-1;Johnstown-MohawkR-Syracuse
15;21;major_river;4109;-1;-1;-1;-1;Oswego-ErieC-Cortland
15;32;major_river;4109;-1;-1;-1;-1;Oswego-ErieC-Seneca
