#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
redcoats.1.name;The two lights of Old North Church;;;;;;;;;;;;;x
redcoats.1.desc;Two lights have recently been spotted shining in the steeple of Boston's Old North Church, one of the few pre-cataclysmic churches still standing. There's an ancient tale about that, but I can't remember what it is...;;;;;;;;;;;;;x
redcoats.1.optA;It was just a children's story, anyways.;;;;;;;;;;;;;x
redcoats.2.name;The British are coming!;;;;;;;;;;;;;x
redcoats.2.desc;A fleet has appeared in Cape Cod, full of men wearing red jackets. They claim to have sailed from the far side of the ocean, and seek to bring the world we know under the rule of 'the one we call Queen, for human mouths cannot voice her true name'.;;;;;;;;;;;;;x
redcoats.2.optA;Ia! Ia! On her throne in the White Hall, the Queen yet dreams.;;;;;;;;;;;;;x
redcoats.2.optB;Perfidious Albion shall not triumph!;;;;;;;;;;;;;x
redcoats.2.optC;Not again! Not now!;;;;;;;;;;;;;x
redcoats.3.name;British reinforcements;;;;;;;;;;;;;x
redcoats.3.desc;More troops have sailed from that dark land across the sea, to strengthen the Redcoats here.;;;;;;;;;;;;;x
redcoats.4.name;The Redcoats become Catholic;;;;;;;;;;;;;x
redcoats.4.desc;Following years of conquest, the faith of locals has become the faith of the British occupiers.;;;;;;;;;;;;;x
redcoats.4.optC;At least there'll be no more sacrifices now.;;;;;;;;;;;;;x
redcoats.5.name;The Redcoats turn to the High Church;;;;;;;;;;;;;x
redcoats.5.desc;Due to the influence of local adherents, the British have returned to the Christian faith of their ancestors.;;;;;;;;;;;;;x
redcoats.5.optC;At least there'll be no more sacrifices now.;;;;;;;;;;;;;x
redcoats.6.name;Redcoats sack Washington!;;;;;;;;;;;;;x
redcoats.6.desc;Hordes of perfidious Brits have put the capital of Old America to the torch!;;;;;;;;;;;;;x
redcoats.6.optA;I hope our realm isn't next...;;;;;;;;;;;;;x
redcoats.6.optB;Washington shall be avenged!;;;;;;;;;;;;;x
EVTNAMECONSUMER1;The Rise of Consumerism;;;;;;;;;;;;;x
EVTDESCCONSUMER1;A prophet has arisen, proclaiming that the Old World was struck down, not by Jesus, the Atom, or the Founding Fathers, but by the Almighty Dollar for neglecting the temples they called Malls, improperly performing the ritual of the Shopping, and not giving Him tribute for every new Product he created, and that He will soon destroy the world again unless all Americans follow these rites. Many have came before him, preaching similar doctrines but attracting few followers, for the ruins of Old America are littered with books and signs advertising marvelous products that will cure all ills and bring true happiness. But this prophet's oratory has given him tens of thousands of followers, who are now spreading their faith across America by his words and by the sword.;;;;;;;;;;;;;x
EVTOPTACONSUMER1;For the Dollar!;;;;;;;;;;;;;x
EVTOPTBCONSUMER1;A worrying development...;;;;;;;;;;;;;x
CONSUMERIST_REVOLT;Consumerist Rising;;;;;;;;;;;;;x
CB_NAME_CONSUMERIST_RISING;Consumerist Rising in [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_CONSUMERIST_RISING;$ORDER$Consumerist Rising in [Title.GetBaseName];;;;;;;;;;;;;x
EVTNAME670;The [Root.Religion.GetName] Reformation;Réforme du/de l' [Root.Religion.GetName];Reformation des [Root.Religion.GetName]-Glaubens;;Reforma de la Fe [Root.Religion.GetName];;;;;;;;;x
EVTDESC670;The ancient [Root.Religion.GetName] religion is proving unable to withstand the onslaught of the Cross and the Dollar. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith. With codified rites, a holy scripture and a strict church hierarchy under a single leader, they hope that the reformed [Root.Religion.GetName] faith is better armed to fight back against the weak and effeminate foreign beliefs!;;;;;;;;;;;;;x
EVTOPTA670;For [Root.Religion.GetRandomGodName]!;Pour [Root.Religion.GetRandomGodName] !;Für [Root.Religion.GetRandomGodName]!;;¡Por [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTOPTB670;Embrace the Reformation!;Adoptez la réforme !;Begrüßt die Reformation!;;¡Acoge la Reforma!;;;;;;;;;x
EVTOPTC670;The old ways are still best;Les vieilles mœurs valent toujours mieux ;Die alten Pfade sind immernoch die besten;;Las viejas formas aún son mejores;;;;;;;;;x
EVTOPTD670;They are still barbarians!;Ce sont toujours des barbares !;Sie sind noch immer Barbaren!;;¡Siguen siendo bárbaros!;;;;;;;;;x
president.3.desc;President [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] has passed into the great white house in the sky, and a new President must be elected to lead the faithful.;;;;;;;;;;;;;x
president.3.optA;I will stand for election;;;;;;;;;;;;;x
president.3.optB;I will not contest this election;;;;;;;;;;;;;x
president.9.desc;Your campaign for President did not gather enough support to contest the election.;;;;;;;;;;;;;x
president.9.optA;Maybe next time...;;;;;;;;;;;;;x
president.10.desc;The candidates for the Presidency have been announced.;;;;;;;;;;;;;x
president.10.optA;May [Root.Religion.GetRandomGodName] guide the electors.;;;;;;;;;;;;;x
president.100.desc;It is time to cast your vote for the next President of the United States.;;;;;;;;;;;;;x
president.100.optA;I support myself;;;;;;;;;;;;;x
president.100.optB;I support this candidate;;;;;;;;;;;;;x
president.100.optC;I support this candidate;;;;;;;;;;;;;x
president.100.optD;I support this candidate;;;;;;;;;;;;;x
president.100.optE;I support this candidate;;;;;;;;;;;;;x
president.110.desc;The Founding Fathers have seen fit to grant me the exalted office of President of the United States.;;;;;;;;;;;;;x
president.110.optA;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
president.111.desc;The Founding Fathers have spoken through the voice of the American people, anointing [From.GetFullName] as President of the United States, Commander-in-Chief, and Leader of the Free World.;;;;;;;;;;;;;x
president.111.optA;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
TOOLTIPPRESIDENTVOTE;will be our choice for President\n;;;;;;;;;;;;;x
TOOLTIPPRESIDENTCANDIDATE;is a candidate for President\n;;;;;;;;;;;;;x
TOOLTIPPRESIDENTCANDIDATESELF;You are a candidate for President\n;;;;;;;;;;;;;x
TOOLTIPPRESREQUIREMENTS;Any Presidential candidate must be a capable American at least thirty-five years of age.;;;;;;;;;;;;;x
pres_candidate_1;Presidential Candidate 1;;;;;;;;;;;;;x
pres_candidate_1_DESC;This character is a candidate for the Presidency.;;;;;;;;;;;;;x
pres_candidate_2;Presidential Candidate 2;;;;;;;;;;;;;x
pres_candidate_2_DESC;This character is a candidate for the Presidency.;;;;;;;;;;;;;x
pres_candidate_3;Presidential Candidate 3;;;;;;;;;;;;;x
pres_candidate_3_DESC;This character is a candidate for the Presidency.;;;;;;;;;;;;;x
pres_candidate_4;Presidential Candidate 4;;;;;;;;;;;;;x
pres_candidate_4_DESC;This character is a candidate for the Presidency.;;;;;;;;;;;;;x
