1910000={
	name="Gastón"
	dynasty=1912065 # del Caballero
	father=1910001
	martial=10
	diplomacy=6
	stewardship=7
	intrigue=10
	learning=6
	culture=californio
	religion=sacred_heart
	trait="marian_el_santo"
	trait=hunter
	trait=strong
	trait=fair
	trait=gregarious
	trait=proud
	trait=arbitrary
	trait=ambitious
	trait=lustful
	trait="inspiring_leader"
	trait=tough_soldier
	2642.4.17={birth=yes}
	2724.3.1={death=yes}
}

1910001={
	name="Baltasar"
	dynasty=1912065 # del Caballero
	father=1910002
	martial=6
	diplomacy=6
	stewardship=9
	intrigue=13
	learning=10
	culture=californio
	religion=sacred_heart
	trait="marian_el_santo"
	trait=falconer
	trait=strong
	trait=patient
	trait=cynical
	trait=diligent
	trait=cruel
	trait=temperate
	trait=just
	trait=charitable
	trait="unyielding_leader"
	trait=elusive_shadow
	2611.6.20={birth=yes}
	2662.5.12={death=yes}
}

1910002={
	name="Esteban"
	dynasty=1912065 # del Caballero
	martial=10
	diplomacy=8
	stewardship=9
	intrigue=9
	learning=10
	culture=californio
	religion=sacred_heart
	trait="marian_el_santo"
	trait=duelist
	trait=strong
	trait=fair
	trait=ambitious
	trait=kind
	trait=brave
	trait=quick
	trait=just
	trait=charitable
	trait=organizer
	trait="aggressive_leader"
	trait=brilliant_strategist
	2558.1.19={birth=yes}
	2630.9.5={death=yes}
}

1910003={
	name="Mariano"
	dynasty=1912050 # Allende
	martial=9
	diplomacy=6
	stewardship=7
	intrigue=5
	learning=6
	culture=californio
	religion=sacred_heart
	trait="marian_santa_muerte"
	trait=hunter
	trait=strong
	trait=honest
	trait=wroth
	trait=greedy
	trait=lustful
	trait=gluttonous
	trait=brave
	trait=organizer
	trait="flanker"
	trait=skilled_tactician
	2623.3.15={birth=yes}
	2684.1.11={death=yes}
}

1910004={
	name="Victor"
	dynasty=1912050 # Allende
	father=1910003
	martial=6
	diplomacy=9
	stewardship=8
	intrigue=8
	learning=8
	culture=californio
	religion=sacred_heart
	trait="marian_santa_muerte"
	trait=poet
	trait=strong
	trait=diligent
	trait=patient
	trait=charitable
	trait=lustful
	trait=fair
	trait=quick
	trait=organizer
	trait=gregarious
	trait=fortune_builder
	2647.10.11={birth=yes}
	2730.1.30={death=yes}
}

1910005={
	name="Xiomara"
	female=yes
	dynasty=1912050 # Allende
	father=1910003
	martial=5
	diplomacy=9
	stewardship=7
	intrigue=8
	learning=9
	culture=californio
	religion=sacred_heart
	trait="marian_guadalupe"
	trait=gardener
	trait=diligent
	trait=deceitful
	trait=charitable
	trait=lustful
	trait=fair
	trait=quick
	trait=kind
	trait=charismatic_negotiator
	2651.5.17={birth=yes}
	2739.6.30={death=yes}
}

1910006={
	name="Iohan"
	dynasty=1912031 # Ferrandes
	martial=6
	diplomacy=7
	stewardship=6
	intrigue=8
	learning=6
	culture=californio
	religion=sacred_heart
	trait="marian_santa_muerte"
	trait=mystic
	trait=deceitful
	trait=cruel
	trait=paranoid
	trait=shy
	trait=temperate
	trait=patient
	trait=craven
	trait=intricate_webweaver
	2639.7.10={birth=yes}
	2725.1.11={death=yes}
}

1910007={
	name="Kino"
	dynasty=1912004 # de Laciana
	martial=7
	diplomacy=7
	stewardship=6
	intrigue=5
	learning=5
	culture=californio
	religion=sacred_heart
	trait="marian_guadalupe"
	trait=hedonist
	trait=ambitious
	trait=wroth
	trait=envious
	trait=strong
	trait=lustful
	trait=proud
	trait=brave
	trait=indulgent_wastrel
	trait="heavy_infantry_leader"
	2635.6.4={birth=yes}
	2700.1.11={death=yes}
}

1910008={
	name="Salvador"
	dynasty=1912033 # Vallejo
	martial=6
	diplomacy=8
	stewardship=6
	intrigue=8
	learning=9
	culture=californio
	religion=sacred_heart
	trait="marian_guadalupe"
	trait=scholar
	trait=shy
	trait=kind
	trait=just
	trait=humble
	trait=trusting
	trait=patient
	trait=temperate
	trait=content
	trait=charismatic_negotiator
	2640.12.25={birth=yes}
	2700.1.11={death=yes}
}

1910009={
	name="Hernando"
	dynasty=1912019 # de Fonpical
	martial=9
	diplomacy=6
	stewardship=5
	intrigue=7
	learning=5
	culture=californio
	religion=sacred_heart
	trait="marian_el_santo"
	trait=duelist
	trait=gregarious
	trait=drunkard
	trait=just
	trait=stressed
	trait=zealous
	trait=patient
	trait=quick
	trait=brilliant_strategist
	trait=holy_warrior
	trait=organizer
	trait=siege_leader
	2636.7.20={birth=yes}
	2700.1.11={death=yes}
}

1910010={
	name="Dong-Sun"
	dynasty=1913004 # Yuk
	martial=5
	diplomacy=4
	stewardship=8
	intrigue=7
	learning=9
	culture=chino
	religion=sacred_heart
	trait="marian_santa_muerte"
	trait=hedonist
	trait=greedy
	trait=deceitful
	trait=arbitrary
	trait=paranoid
	trait=lustful
	trait=cruel
	trait=diligent
	trait=infirm
	trait=craven
	trait=midas_touched
	2567.9.13={birth=yes}
	2660.12.1={
		death={
			death_reason=death_murder_unknown
		}
	}
}

1910011={
	name="Chang-Lin"
	dynasty=1913004 # Yuk
	father=1910010
	martial=8
	diplomacy=6
	stewardship=5
	intrigue=6
	learning=6
	culture=chino
	religion=sacred_heart
	trait="marian_el_santo"
	trait=impaler
	trait=greedy
	trait=brave
	trait=gregarious
	trait=proud
	trait=wroth
	trait=diligent
	trait=genius
	trait=organizer
	trait=holy_warrior
	trait=skilled_tactician
	2586.7.8={birth=yes}
	2700.3.1={death=yes}
}

1910012={
	name="Kuan-Yin"
	dynasty=1913004 # Yuk
	father=1910010
